#variable_id,variable_type,variable_name,display_name,aliases,bounds,default_unit_name,question
100,ordinal,ecog,ECOG,ecog|eastern cooperative oncology group|ecog performance grade|ecog performance status|ecog ps|eastern cooperative oncology group performance status,0|1|2|3|4,,What is your ECOG performance status?
101,ordinal,gleason_score,Gleason score,gleason|gleason score|gleason grade,1|2|3|4|5|6|7|8|9|10,,What is your Gleason score?
102,ordinal,nyha,NYHA,nyha|new york heart association|new york heart association classification,1|2|3|4,,What is your NYHA class?
103,ordinal,cps,Child-Pugh score,child pugh|childs pugh|child-pugh|child-pugh score,5|6|7|8|9|10|11|12|13|14|15,,What is your Child-Pugh score?
104,ordinal,fitzpatrick_skin_type,Fitzpatrick skin type,fitzpatrick skin type*|Fitzpatrick phototype*|fitzpatrick,1|2|3|4|5|6,,What is your Fitzpatrick skin type?
105,ordinal,fitzpatrick_wrinkle_scale,Fitzpatrick wrinkle scale,fitzpatrick wrinkle,1|2|3|4|5|6|7|8|9,,What is your Fitzpatrick wrinkle scale?
200,numerical,age,Age,age|ages|aged,0.0|120.0,year,How old are you?
201,numerical,height,Height,heigh*,0.0|500.0,,What is your height?
202,numerical,weight,Weight,weigh*|body weigh*,0.0|300.0,,What is your weight?
203,numerical,bmi,BMI,bmi|body mass index,0.0|100.0,kg/m2,What is your BMI?
204,numerical,waist_circumference,Waist circumference,waist|waist circumference,0.0|200.0,,What is your waist circumference?
205,numerical,arm_circumference,Arm circumference,arm_circumference,1.0|100.0,,What is your arm circumference?
206,numerical,life_expectancy,Life expectancy,life expectancy,0.0|120.0,,What is your life expectancy?
207,numerical,body_temperature,Body temperature,temperature|temperature measurement|fever,10.0|120,,What is your body temperature?
208,numerical,daily_opioid_dose,Daily opioid dose,daily opioid dose,,,What is your daily opioid dose?
300,numerical,sbp,SBP,sbp|systolic blood pressure|systolic bp|systolic,10.0|300.0,mmhg,What is your blood pressure?
301,numerical,dbp,DBP,dbp|diastolic blood pressure|diastolic bp|diastolic,10.0|150.0,mmhg,What is your blood pressure?
302,numerical,sbp/dbp,Blood pressure,bp|blood pressure,10.0|300.0,mmgh,What is your blood pressure?
303,numerical,lvef,LVEF,lvef|left ventricular ejection fraction|cardiac ejection fraction,0.0|100.0,%,What is your left ventricular ejection fraction?
304,numerical,cqt,cQT,corrected qt interval|qtc interval|qtc,,,What is your corrected QT interval?
305,numerical,troponin_level,Troponin level,troponin level|serum tropinin|troponin,,,What is your troponin level?
400,numerical,a1c,A1c,a1c|hba1c|hgba1c|hga1c|hgb-a1c|hemoglobin a1c|glycosylated hemoglobin|glycated hemoglobin|glycohemoglobin|hga1c blood test,0.0|15.0,%,What is your hemoglobin A1c?
401,numerical,fasting_blood_sugar_level,Fasting blood sugar level,blood sugar level*|blood sugar|plasma glucose level*|blood glucose level*|plasma glucose|fasting plasma glucose|fasting glucose|fpg,0.0|1000.0,,What is your fasting blood sugar level?
402,numerical,fructosamine,Fructosamine,fructosamine|serum fructosamine,1.0|1000.0,,What is your fructosamine level?
