#nct_id	eligibility_type	variable_type	criterion_index	criterion	question	relation
NCT04346355	inclusion	numerical	0	age > 18 years	How old are you?	{"id":"200","name":"age","unit":"year","lower":{"incl":false,"value":"18"},"variableType":"numerical","score":1}
NCT04346355	inclusion	numerical	1	Presence of acute respiratory distress syndrome with arterial partial pressure of oxygen / fraction of inspired oxygen (PaO2 / FiO2) between 200 and 300 mm/Hg	What is your P/F ratio?	{"id":"904","name":"pf_ratio","unit":"mmhg","lower":{"incl":true,"value":"200"},"upper":{"incl":true,"value":"300"},"variableType":"numerical","score":1}
NCT04346355	inclusion	numerical	2	Presence of exaggerated inflammatory response defined by the presence of at least 1 of the following criteria: At least one body temperature measurement >38° C in the past two days	What is your body temperature?	{"id":"207","name":"body_temperature","unit":"c","lower":{"incl":false,"value":"38"},"variableType":"numerical","score":0.7}
NCT04346355	inclusion	numerical	3	Presence of exaggerated inflammatory response defined by the presence of at least 1 of the following criteria: Serum CRP greater than or equal to 10 mg/dl	What is your C-reactive protein level?	{"id":"909","name":"c_reactive_protein_level","unit":"mg/dl","lower":{"incl":true,"value":"10"},"variableType":"numerical","score":0.8333333333333334}
NCT04346355	inclusion	numerical	4	Presence of exaggerated inflammatory response defined by the presence of at least 1 of the following criteria: CRP increase of at least twice the basal value	What is your C-reactive protein level?	{"id":"909","name":"c_reactive_protein_level","lower":{"incl":true,"value":"1"},"variableType":"numerical","score":0.8}
NCT04346355	exclusion	numerical	5	Patients with respiratory distress syndrome with arterial partial pressure of oxygen / fraction of inspired oxygen (PaO2 / FiO2) <200 mm/Hg or	What is your P/F ratio?	{"id":"904","name":"pf_ratio","unit":"mmhg","lower":{"incl":true,"value":"200"},"variableType":"numerical","score":0.9}
NCT04346355	exclusion	numerical	6	Neutrophils <500 /mmc	What is your absolute neutrophil count?	{"id":"408","name":"anc","unit":"cells/ul","lower":{"incl":true,"value":"500"},"variableType":"numerical","score":1}
NCT04346355	exclusion	numerical	7	Platelets <50.000 /mmc	What is your platelet count?	{"id":"405","name":"platelet_count","unit":"cells/ul","lower":{"incl":true,"value":"50.000"},"variableType":"numerical","score":1}
NCT04344951	inclusion	numerical	0	Age 18 or older	How old are you?	{"id":"200","name":"age","unit":"year","lower":{"incl":true,"value":"18"},"variableType":"numerical","score":0.875}
NCT04344951	exclusion	numerical	1	Under 18 years of age	How old are you?	{"id":"200","name":"age","unit":"year","lower":{"incl":true,"value":"18"},"variableType":"numerical","score":1}
